﻿﻿restaurant_id,wine_name,producer,vintage,price,bottle_size,section,acidity,tannin,body,texture,pairing_tags,insider_note,data_source
essential by christophe,Unknown,Château Margaux,1900,30000,750ml,General,5,6,8,Faded,"Cheese, Nuts","Antique rarity, drink carefully.",NUCLEAR_MATCH_V8
joo ok,Romanee-Conti Grand Cru,Domaine de la Romanee-Conti,2022,22000,750ml,Red Wine,8,6,7,"silk_veil, weightless_power","tasting_menu, poultry, duck, truffle, meditative","2022 RC: haunting perfume, spherical tannin; profound yet almost ethereal.",NUCLEAR_MATCH_V8
joo ok,Corton Charlemagne,Domaine de la Romanee-Conti,2020,18000,750ml,White Wine,9,1,8,Chalky,"Lobster, Foie Gras","Cool 2020 Burgundy: electric minerality, poised structure.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Tâche Grand Cru,Domaine de la Romanée-Conti,1999,15572,750ml,Red Burgundy,7,8,8,"silky, layered, resolved","poularde_aux_morilles, lamb_rack, ceps, comté_24m","Mature 1999 La Tâche; perfumed, complete, now in a perfect window.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Romanée-Conti Grand Cru,Domaine de la Romanée-Conti,2021,14700,750ml,Red Burgundy,9,7,8,"weightless, cashmere, ethereal","simple_roast_chicken, pigeon, fresh_black_truffle, aged_comté","2021 Romanée-Conti; ultra-refined, vertical, hauntingly long, archetypal cool vintage.",NUCLEAR_MATCH_V8
53,Corton-Charlemagne Grand Cru,Domaine Coche-Dury,2015,12658,750ml,White Wines,7,,9,"dense, oily, powerful","lobster_thermidor, rich_poultry","Epic, solar Corton-Charlemagne; decant, built for gastronomy.",NUCLEAR_MATCH_V8
gabriel kreuther,Chambertin Grand Cru,Armand Rousseau,2018,10500,750ml,General,8,8,8,"silky_power, complete","pigeon, venison, truffled_poultry","2018 Chambertin: ripe vintage, grand cru depth, seamless tannins.",NUCLEAR_MATCH_V8
jungsik,Unknown,Salon,2008,10500,Magnum,General,6,6,7,Balanced,,Structured and balanced red wine profile.,SAFE_FALLBACK_V35
atomix,Unknown,Château Pétrus,2005,10000,750ml,General,8,9,9,Velvety,"Roast Lamb, Truffle Risotto","Pomerol legend, opulent and harmonious peak now.",NUCLEAR_MATCH_V8
essential by christophe,Unknown,Château Margaux,1945,10000,750ml,General,6,7,9,Ethereal,"Roast, Aged Meats","Historic 1945, fragile perfection.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Cabernet Sauvignon,Screaming Eagle,2014,9850,750ml,Napa Valley Cabernet & Blends,8,8,6,Lithe,"Herb-Crusted Lamb, Pork Tenderloin","2014 Screaming Eagle: Lean, elegant.",NUCLEAR_MATCH_V8
cote,Château Pétrus,Château Pétrus,2005,9700,750ml,French Red Wine,8,9,9,Velvety,"Roast Lamb, Truffle Risotto","Pomerol legend, opulent and harmonious peak now.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Chambertin Clos-de-Bèze Grand Cru,Armand Rousseau,2010,9598,750ml,Red Burgundy,8,9,8,"Firm, classic","Lamb, Game","Ageworthy structure, purity.",NUCLEAR_MATCH_V8
